hname,shcode,expcode,etfchk,filler,gubun
히어로즈 25-09 미국채권(AA-이상)액티브,467620,KR7467620001,1,,1
KODEX 25-11 회사채(A+이상)액티브,467940,KR7467940003,1,,1
KODEX iShares미국인플레이션국채액티브,468370,KR7468370002,1,,1
KODEX iShares미국하이일드액티브,468380,KR7468380001,1,,1
KODEX iShares미국투자등급회사채액티브,468630,KR7468630009,1,,1
WOORI 25-09 회사채(AA-이상)액티브,468820,KR7468820006,1,,1
KBSTAR 미국반도체NYSE(H),469050,KR7469050009,1,,1
KBSTAR 미국반도체NYSE,469060,KR7469060008,1,,1
KBSTAR AI&로봇,469070,KR7469070007,1,,1
ACE AI반도체포커스,469150,KR7469150007,1,,1
ACE 일본반도체,469160,KR7469160006,1,,1
ACE 포스코그룹포커스,469170,KR7469170005,1,,1
KBSTAR 미국달러선물인버스,469530,KR7469530000,1,,1
KBSTAR KP달러채권액티브,469580,KR7469580005,1,,1
KOSEF K-테크TOP10,469790,KR7469790000,1,,1
SOL 24-12 회사채(AA-이상)액티브,469820,KR7469820005,1,,1
SOL 초단기채권액티브,469830,KR7469830004,1,,1
TIGER 24-12 금융채(AA-이상),470260,KR7470260001,1,,1
UNICORN 생성형AI강소기업액티브,470310,KR7470310004,1,,1
BNK 24-11 회사채(AA-이상)액티브,470320,KR7470320003,1,,1
KoAct 글로벌AI&로봇액티브,471040,KR7471040006,1,,1
KODEX 국고채10년액티브,471230,KR7471230003,1,,1
HANARO CD금리액티브(합성),471290,KR7471290007,1,,1
히어로즈 국고채30년액티브,471460,KR7471460006,1,,1
TIGER AI반도체핵심공정,471760,KR7471760009,1,,1
TIGER 코리아테크액티브,471780,KR7471780007,1,,1
KODEX AI반도체핵심장비,471990,KR7471990002,1,,1
TIGER 배당프리미엄액티브,472150,KR7472150002,1,,1
TIGER 미국테크TOP10 INDXX(H),472160,KR7472160001,1,,1
TIGER 미국테크TOP10채권혼합,472170,KR7472170000,1,,1
KTOP 차이나H(H),472350,KR7472350008,1,,1
HANARO 미국애그테크,472490,KR7472490002,1,,1
HK 종합채권(AA-이상)액티브,472920,KR7472920008,1,,1
KODEX 26-12 회사채(AA-이상)액티브,473290,KR7473290005,1,,1
엘브이엠씨홀딩스,900140,KYG5307W1015,0,,1
프레스티지바이오파마,950210,KR8702070002,0,,1
신한 K200 USD 선물 바이셀 ETN,500001,KRG501300013,0,,1
신한 USD K200 선물 바이셀 ETN,500002,KRG501300021,0,,1
신한 인버스 WTI원유 선물 ETN(H),500003,KRG502400036,0,,1
신한 브렌트원유 선물 ETN(H),500004,KRG502400044,0,,1
신한 인버스 브렌트원유 선물 ETN(H),500005,KRG502400051,0,,1
신한 인버스 금 선물 ETN(H),500006,KRG502400069,0,,1
